"Step","inrl-temporal-6 - eval/black_vs_baseline","inrl-temporal-6 - eval/black_vs_baseline__MIN","inrl-temporal-6 - eval/black_vs_baseline__MAX"
"0","0","0","0"
"5","0","0","0"
"10","0","0","0"
"15","0","0","0"
"20","0","0","0"
"25","0","0","0"
"30","0.00390625","0.00390625","0.00390625"
"35","0.005859375","0.005859375","0.005859375"
"40","0.02734375","0.02734375","0.02734375"
"45","0.0390625","0.0390625","0.0390625"
"50","0.037109375","0.037109375","0.037109375"
"55","0.076171875","0.076171875","0.076171875"
"60","0.0859375","0.0859375","0.0859375"
"65","0.064453125","0.064453125","0.064453125"
"70","0.0859375","0.0859375","0.0859375"
"75","0.072265625","0.072265625","0.072265625"
"80","0.1015625","0.1015625","0.1015625"
"85","0.0703125","0.0703125","0.0703125"
"90","0.095703125","0.095703125","0.095703125"
"95","0.119140625","0.119140625","0.119140625"
"100","0.06640625","0.06640625","0.06640625"
"105","0.09765625","0.09765625","0.09765625"
"110","0.09375","0.09375","0.09375"
"115","0.111328125","0.111328125","0.111328125"
"120","0.087890625","0.087890625","0.087890625"
"125","0.10546875","0.10546875","0.10546875"
"130","0.140625","0.140625","0.140625"
"135","0.13671875","0.13671875","0.13671875"
"140","0.130859375","0.130859375","0.130859375"
"145","0.1171875","0.1171875","0.1171875"
"150","0.123046875","0.123046875","0.123046875"
"155","0.109375","0.109375","0.109375"
"160","0.099609375","0.099609375","0.099609375"
"165","0.08984375","0.08984375","0.08984375"
"170","0.126953125","0.126953125","0.126953125"
"175","0.134765625","0.134765625","0.134765625"
"180","0.076171875","0.076171875","0.076171875"
"185","0.076171875","0.076171875","0.076171875"
"190","0.08203125","0.08203125","0.08203125"
"195","0.08984375","0.08984375","0.08984375"
"200","0.08203125","0.08203125","0.08203125"
"205","0.091796875","0.091796875","0.091796875"
"210","0.1015625","0.1015625","0.1015625"
"215","0.0859375","0.0859375","0.0859375"
"220","0.107421875","0.107421875","0.107421875"
"225","0.1328125","0.1328125","0.1328125"
"230","0.11328125","0.11328125","0.11328125"
"235","0.13671875","0.13671875","0.13671875"
"240","0.09765625","0.09765625","0.09765625"
"245","0.125","0.125","0.125"
"250","0.1484375","0.1484375","0.1484375"
"255","0.130859375","0.130859375","0.130859375"
"260","0.154296875","0.154296875","0.154296875"
"265","0.189453125","0.189453125","0.189453125"
"270","0.154296875","0.154296875","0.154296875"
"275","0.171875","0.171875","0.171875"
"280","0.177734375","0.177734375","0.177734375"
"285","0.203125","0.203125","0.203125"
"290","0.19921875","0.19921875","0.19921875"
"295","0.2109375","0.2109375","0.2109375"
"300","0.181640625","0.181640625","0.181640625"
"305","0.19921875","0.19921875","0.19921875"
"310","0.19140625","0.19140625","0.19140625"
"315","0.177734375","0.177734375","0.177734375"
"320","0.1875","0.1875","0.1875"
"325","0.171875","0.171875","0.171875"
"330","0.25390625","0.25390625","0.25390625"
"335","0.21484375","0.21484375","0.21484375"
"340","0.185546875","0.185546875","0.185546875"
"345","0.216796875","0.216796875","0.216796875"
"350","0.19921875","0.19921875","0.19921875"
"355","0.208984375","0.208984375","0.208984375"
"360","0.212890625","0.212890625","0.212890625"
"365","0.203125","0.203125","0.203125"
"370","0.244140625","0.244140625","0.244140625"
"375","0.2578125","0.2578125","0.2578125"
"380","0.205078125","0.205078125","0.205078125"
"385","0.248046875","0.248046875","0.248046875"
"390","0.228515625","0.228515625","0.228515625"
"395","0.234375","0.234375","0.234375"
"400","0.25","0.25","0.25"
"405","0.232421875","0.232421875","0.232421875"
"410","0.212890625","0.212890625","0.212890625"
"415","0.19921875","0.19921875","0.19921875"
"420","0.201171875","0.201171875","0.201171875"
"425","0.22265625","0.22265625","0.22265625"
"430","0.208984375","0.208984375","0.208984375"
"435","0.23046875","0.23046875","0.23046875"
"440","0.2890625","0.2890625","0.2890625"
"445","0.3125","0.3125","0.3125"
"450","0.330078125","0.330078125","0.330078125"
"455","0.333984375","0.333984375","0.333984375"
"460","0.34765625","0.34765625","0.34765625"
"465","0.3984375","0.3984375","0.3984375"
"470","0.326171875","0.326171875","0.326171875"
"475","0.341796875","0.341796875","0.341796875"
"480","0.349609375","0.349609375","0.349609375"
"485","0.353515625","0.353515625","0.353515625"
"490","0.373046875","0.373046875","0.373046875"
"495","0.375","0.375","0.375"
"500","0.365234375","0.365234375","0.365234375"
"505","0.408203125","0.408203125","0.408203125"
"510","0.40234375","0.40234375","0.40234375"
"515","0.388671875","0.388671875","0.388671875"
"520","0.466796875","0.466796875","0.466796875"
"525","0.5078125","0.5078125","0.5078125"
"530","0.5","0.5","0.5"
"535","0.46484375","0.46484375","0.46484375"
"540","0.46484375","0.46484375","0.46484375"
"545","0.5","0.5","0.5"
"550","0.486328125","0.486328125","0.486328125"
"555","0.541015625","0.541015625","0.541015625"
"560","0.458984375","0.458984375","0.458984375"
"565","0.44921875","0.44921875","0.44921875"
"570","0.50390625","0.50390625","0.50390625"
"575","0.455078125","0.455078125","0.455078125"
"580","0.3984375","0.3984375","0.3984375"
"585","0.373046875","0.373046875","0.373046875"
"590","0.42578125","0.42578125","0.42578125"
"595","0.380859375","0.380859375","0.380859375"
"600","0.40234375","0.40234375","0.40234375"
"605","0.396484375","0.396484375","0.396484375"
"610","0.4296875","0.4296875","0.4296875"
"615","0.3984375","0.3984375","0.3984375"
"620","0.353515625","0.353515625","0.353515625"
"625","0.40234375","0.40234375","0.40234375"
