"Step","inrl-temporal-6 - eval/black_vs_white_pool1","inrl-temporal-6 - eval/black_vs_white_pool1__MIN","inrl-temporal-6 - eval/black_vs_white_pool1__MAX"
"0","0.837890625","0.837890625","0.837890625"
"5","0.826171875","0.826171875","0.826171875"
"10","0.822265625","0.822265625","0.822265625"
"15","0.830078125","0.830078125","0.830078125"
"20","0.80859375","0.80859375","0.80859375"
"25","0.841796875","0.841796875","0.841796875"
"30","0.7734375","0.7734375","0.7734375"
"35","0.841796875","0.841796875","0.841796875"
"40","0.822265625","0.822265625","0.822265625"
"45","0.828125","0.828125","0.828125"
"50","0.8203125","0.8203125","0.8203125"
"55","0.8203125","0.8203125","0.8203125"
"60","0.83203125","0.83203125","0.83203125"
"65","0.845703125","0.845703125","0.845703125"
"70","0.8203125","0.8203125","0.8203125"
"75","0.84375","0.84375","0.84375"
"80","0.845703125","0.845703125","0.845703125"
"85","0.818359375","0.818359375","0.818359375"
"90","0.84375","0.84375","0.84375"
"95","0.845703125","0.845703125","0.845703125"
"100","0.849609375","0.849609375","0.849609375"
"105","0.833984375","0.833984375","0.833984375"
"110","0.841796875","0.841796875","0.841796875"
"115","0.84375","0.84375","0.84375"
"120","0.8046875","0.8046875","0.8046875"
"125","0.806640625","0.806640625","0.806640625"
"130","0.86328125","0.86328125","0.86328125"
"135","0.83203125","0.83203125","0.83203125"
"140","0.8125","0.8125","0.8125"
"145","0.8203125","0.8203125","0.8203125"
"150","0.841796875","0.841796875","0.841796875"
"155","0.8671875","0.8671875","0.8671875"
"160","0.80859375","0.80859375","0.80859375"
"165","0.826171875","0.826171875","0.826171875"
"170","0.841796875","0.841796875","0.841796875"
"175","0.8359375","0.8359375","0.8359375"
"180","0.828125","0.828125","0.828125"
"185","0.853515625","0.853515625","0.853515625"
"190","0.8515625","0.8515625","0.8515625"
"195","0.84375","0.84375","0.84375"
"200","0.8828125","0.8828125","0.8828125"
"205","0.8671875","0.8671875","0.8671875"
"210","0.890625","0.890625","0.890625"
"215","0.875","0.875","0.875"
"220","0.833984375","0.833984375","0.833984375"
"225","0.859375","0.859375","0.859375"
"230","0.8671875","0.8671875","0.8671875"
"235","0.873046875","0.873046875","0.873046875"
"240","0.83984375","0.83984375","0.83984375"
"245","0.859375","0.859375","0.859375"
"250","0.830078125","0.830078125","0.830078125"
"255","0.86328125","0.86328125","0.86328125"
"260","0.818359375","0.818359375","0.818359375"
"265","0.876953125","0.876953125","0.876953125"
"270","0.83984375","0.83984375","0.83984375"
"275","0.83984375","0.83984375","0.83984375"
"280","0.853515625","0.853515625","0.853515625"
"285","0.86328125","0.86328125","0.86328125"
"290","0.8515625","0.8515625","0.8515625"
"295","0.859375","0.859375","0.859375"
"300","0.83984375","0.83984375","0.83984375"
"305","0.84765625","0.84765625","0.84765625"
"310","0.853515625","0.853515625","0.853515625"
"315","0.85546875","0.85546875","0.85546875"
"320","0.873046875","0.873046875","0.873046875"
"325","0.833984375","0.833984375","0.833984375"
"330","0.845703125","0.845703125","0.845703125"
"335","0.841796875","0.841796875","0.841796875"
"340","0.83203125","0.83203125","0.83203125"
"345","0.857421875","0.857421875","0.857421875"
"350","0.853515625","0.853515625","0.853515625"
"355","0.84765625","0.84765625","0.84765625"
"360","0.841796875","0.841796875","0.841796875"
"365","0.806640625","0.806640625","0.806640625"
"370","0.8203125","0.8203125","0.8203125"
"375","0.818359375","0.818359375","0.818359375"
"380","0.830078125","0.830078125","0.830078125"
"385","0.849609375","0.849609375","0.849609375"
"390","0.833984375","0.833984375","0.833984375"
"395","0.875","0.875","0.875"
"400","0.865234375","0.865234375","0.865234375"
"405","0.822265625","0.822265625","0.822265625"
"410","0.84375","0.84375","0.84375"
"415","0.84765625","0.84765625","0.84765625"
"420","0.849609375","0.849609375","0.849609375"
"425","0.84375","0.84375","0.84375"
"430","0.85546875","0.85546875","0.85546875"
"435","0.8515625","0.8515625","0.8515625"
"440","0.822265625","0.822265625","0.822265625"
"445","0.845703125","0.845703125","0.845703125"
"450","0.84765625","0.84765625","0.84765625"
"455","0.8515625","0.8515625","0.8515625"
"460","0.845703125","0.845703125","0.845703125"
"465","0.8203125","0.8203125","0.8203125"
"470","0.857421875","0.857421875","0.857421875"
"475","0.84375","0.84375","0.84375"
"480","0.80078125","0.80078125","0.80078125"
"485","0.84765625","0.84765625","0.84765625"
"490","0.859375","0.859375","0.859375"
"495","0.82421875","0.82421875","0.82421875"
"500","0.865234375","0.865234375","0.865234375"
"505","0.84765625","0.84765625","0.84765625"
"510","0.859375","0.859375","0.859375"
"515","0.861328125","0.861328125","0.861328125"
"520","0.84375","0.84375","0.84375"
"525","0.841796875","0.841796875","0.841796875"
"530","0.830078125","0.830078125","0.830078125"
"535","0.853515625","0.853515625","0.853515625"
"540","0.833984375","0.833984375","0.833984375"
"545","0.826171875","0.826171875","0.826171875"
"550","0.853515625","0.853515625","0.853515625"
"555","0.814453125","0.814453125","0.814453125"
"560","0.82421875","0.82421875","0.82421875"
"565","0.869140625","0.869140625","0.869140625"
"570","0.837890625","0.837890625","0.837890625"
"575","0.853515625","0.853515625","0.853515625"
"580","0.87890625","0.87890625","0.87890625"
"585","0.83984375","0.83984375","0.83984375"
"590","0.87109375","0.87109375","0.87109375"
"595","0.83984375","0.83984375","0.83984375"
"600","0.8828125","0.8828125","0.8828125"
"605","0.861328125","0.861328125","0.861328125"
"610","0.833984375","0.833984375","0.833984375"
"615","0.830078125","0.830078125","0.830078125"
"620","0.8828125","0.8828125","0.8828125"
"625","0.84765625","0.84765625","0.84765625"
"630","0.859375","0.859375","0.859375"
"635","0.859375","0.859375","0.859375"
"640","0.8671875","0.8671875","0.8671875"
"645","0.87109375","0.87109375","0.87109375"
"650","0.88671875","0.88671875","0.88671875"
"655","0.87890625","0.87890625","0.87890625"
"660","0.87109375","0.87109375","0.87109375"
"665","0.87109375","0.87109375","0.87109375"
"670","0.884765625","0.884765625","0.884765625"
"675","0.89453125","0.89453125","0.89453125"
"680","0.89453125","0.89453125","0.89453125"
"685","0.869140625","0.869140625","0.869140625"
"690","0.86328125","0.86328125","0.86328125"
"695","0.8828125","0.8828125","0.8828125"
"700","0.849609375","0.849609375","0.849609375"
"705","0.861328125","0.861328125","0.861328125"
"710","0.849609375","0.849609375","0.849609375"
"715","0.857421875","0.857421875","0.857421875"
"720","0.873046875","0.873046875","0.873046875"
"725","0.8515625","0.8515625","0.8515625"
"730","0.845703125","0.845703125","0.845703125"
"735","0.859375","0.859375","0.859375"
"740","0.865234375","0.865234375","0.865234375"
"745","0.86328125","0.86328125","0.86328125"
"750","0.859375","0.859375","0.859375"
"755","0.853515625","0.853515625","0.853515625"
"760","0.845703125","0.845703125","0.845703125"
"765","0.82421875","0.82421875","0.82421875"
"770","0.85546875","0.85546875","0.85546875"
"775","0.8828125","0.8828125","0.8828125"
"780","0.861328125","0.861328125","0.861328125"
"785","0.84375","0.84375","0.84375"
"790","0.8359375","0.8359375","0.8359375"
"795","0.83203125","0.83203125","0.83203125"
"800","0.853515625","0.853515625","0.853515625"
"805","0.8359375","0.8359375","0.8359375"
"810","0.833984375","0.833984375","0.833984375"
"815","0.857421875","0.857421875","0.857421875"
"820","0.83984375","0.83984375","0.83984375"
"825","0.83984375","0.83984375","0.83984375"
"830","0.826171875","0.826171875","0.826171875"
"835","0.82421875","0.82421875","0.82421875"
"840","0.83203125","0.83203125","0.83203125"
"845","0.841796875","0.841796875","0.841796875"
"850","0.859375","0.859375","0.859375"
"855","0.83203125","0.83203125","0.83203125"
"860","0.830078125","0.830078125","0.830078125"
"865","0.86328125","0.86328125","0.86328125"
"870","0.853515625","0.853515625","0.853515625"
"875","0.833984375","0.833984375","0.833984375"
"880","0.8515625","0.8515625","0.8515625"
"885","0.861328125","0.861328125","0.861328125"
"890","0.853515625","0.853515625","0.853515625"
"895","0.828125","0.828125","0.828125"
"900","0.853515625","0.853515625","0.853515625"
"905","0.84375","0.84375","0.84375"
"910","0.845703125","0.845703125","0.845703125"
"915","0.857421875","0.857421875","0.857421875"
"920","0.849609375","0.849609375","0.849609375"
"925","0.818359375","0.818359375","0.818359375"
"930","0.83203125","0.83203125","0.83203125"
"935","0.833984375","0.833984375","0.833984375"
"940","0.814453125","0.814453125","0.814453125"
"945","0.845703125","0.845703125","0.845703125"
"950","0.857421875","0.857421875","0.857421875"
"955","0.830078125","0.830078125","0.830078125"
"960","0.837890625","0.837890625","0.837890625"
"965","0.818359375","0.818359375","0.818359375"
"970","0.83203125","0.83203125","0.83203125"
"975","0.826171875","0.826171875","0.826171875"
"980","0.794921875","0.794921875","0.794921875"
"985","0.833984375","0.833984375","0.833984375"
"990","0.796875","0.796875","0.796875"
"995","0.8203125","0.8203125","0.8203125"
