"Step","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MIN","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MAX"
"0","0.66796875","0.66796875","0.66796875"
"5","0.63671875","0.63671875","0.63671875"
"10","0.65234375","0.65234375","0.65234375"
"15","0.642578125","0.642578125","0.642578125"
"20","0.640625","0.640625","0.640625"
"25","0.6484375","0.6484375","0.6484375"
"30","0.560546875","0.560546875","0.560546875"
"35","0.564453125","0.564453125","0.564453125"
"40","0.572265625","0.572265625","0.572265625"
"45","0.578125","0.578125","0.578125"
"50","0.58203125","0.58203125","0.58203125"
"55","0.59765625","0.59765625","0.59765625"
"60","0.6328125","0.6328125","0.6328125"
"65","0.615234375","0.615234375","0.615234375"
"70","0.533203125","0.533203125","0.533203125"
"75","0.62109375","0.62109375","0.62109375"
"80","0.6328125","0.6328125","0.6328125"
"85","0.677734375","0.677734375","0.677734375"
"90","0.712890625","0.712890625","0.712890625"
"95","0.72265625","0.72265625","0.72265625"
"100","0.72265625","0.72265625","0.72265625"
"105","0.736328125","0.736328125","0.736328125"
"110","0.70703125","0.70703125","0.70703125"
"115","0.703125","0.703125","0.703125"
"120","0.732421875","0.732421875","0.732421875"
"125","0.7578125","0.7578125","0.7578125"
"130","0.7265625","0.7265625","0.7265625"
"135","0.71875","0.71875","0.71875"
"140","0.7265625","0.7265625","0.7265625"
"145","0.673828125","0.673828125","0.673828125"
"150","0.7109375","0.7109375","0.7109375"
"155","0.689453125","0.689453125","0.689453125"
"160","0.67578125","0.67578125","0.67578125"
"165","0.66796875","0.66796875","0.66796875"
"170","0.712890625","0.712890625","0.712890625"
"175","0.693359375","0.693359375","0.693359375"
"180","0.708984375","0.708984375","0.708984375"
"185","0.66015625","0.66015625","0.66015625"
"190","0.708984375","0.708984375","0.708984375"
"195","0.6796875","0.6796875","0.6796875"
"200","0.65234375","0.65234375","0.65234375"
"205","0.634765625","0.634765625","0.634765625"
"210","0.642578125","0.642578125","0.642578125"
"215","0.65234375","0.65234375","0.65234375"
"220","0.66796875","0.66796875","0.66796875"
"225","0.640625","0.640625","0.640625"
"230","0.630859375","0.630859375","0.630859375"
"235","0.669921875","0.669921875","0.669921875"
"240","0.615234375","0.615234375","0.615234375"
"245","0.63671875","0.63671875","0.63671875"
"250","0.6796875","0.6796875","0.6796875"
"255","0.626953125","0.626953125","0.626953125"
"260","0.58203125","0.58203125","0.58203125"
"265","0.654296875","0.654296875","0.654296875"
"270","0.619140625","0.619140625","0.619140625"
"275","0.626953125","0.626953125","0.626953125"
"280","0.626953125","0.626953125","0.626953125"
"285","0.638671875","0.638671875","0.638671875"
"290","0.630859375","0.630859375","0.630859375"
"295","0.669921875","0.669921875","0.669921875"
"300","0.66796875","0.66796875","0.66796875"
"305","0.650390625","0.650390625","0.650390625"
"310","0.685546875","0.685546875","0.685546875"
"315","0.65234375","0.65234375","0.65234375"
"320","0.630859375","0.630859375","0.630859375"
"325","0.65625","0.65625","0.65625"
"330","0.638671875","0.638671875","0.638671875"
"335","0.69921875","0.69921875","0.69921875"
"340","0.634765625","0.634765625","0.634765625"
"345","0.619140625","0.619140625","0.619140625"
"350","0.62890625","0.62890625","0.62890625"
"355","0.654296875","0.654296875","0.654296875"
"360","0.662109375","0.662109375","0.662109375"
"365","0.654296875","0.654296875","0.654296875"
"370","0.6171875","0.6171875","0.6171875"
"375","0.6328125","0.6328125","0.6328125"
"380","0.626953125","0.626953125","0.626953125"
"385","0.587890625","0.587890625","0.587890625"
"390","0.625","0.625","0.625"
"395","0.59765625","0.59765625","0.59765625"
"400","0.677734375","0.677734375","0.677734375"
"405","0.685546875","0.685546875","0.685546875"
"410","0.6953125","0.6953125","0.6953125"
"415","0.66015625","0.66015625","0.66015625"
"420","0.650390625","0.650390625","0.650390625"
"425","0.650390625","0.650390625","0.650390625"
"430","0.70703125","0.70703125","0.70703125"
"435","0.72265625","0.72265625","0.72265625"
"440","0.7109375","0.7109375","0.7109375"
"445","0.689453125","0.689453125","0.689453125"
"450","0.681640625","0.681640625","0.681640625"
"455","0.748046875","0.748046875","0.748046875"
"460","0.708984375","0.708984375","0.708984375"
"465","0.734375","0.734375","0.734375"
"470","0.75390625","0.75390625","0.75390625"
"475","0.708984375","0.708984375","0.708984375"
