"Step","inrl-balance-ema-v1 - eval/black_vs_baseline","inrl-balance-ema-v1 - eval/black_vs_baseline__MIN","inrl-balance-ema-v1 - eval/black_vs_baseline__MAX"
"0","0.85546875","0.85546875","0.85546875"
"5","0.7890625","0.7890625","0.7890625"
"10","0.818359375","0.818359375","0.818359375"
"15","0.775390625","0.775390625","0.775390625"
"20","0.78125","0.78125","0.78125"
"25","0.828125","0.828125","0.828125"
"30","0.81640625","0.81640625","0.81640625"
"35","0.76171875","0.76171875","0.76171875"
"40","0.796875","0.796875","0.796875"
"45","0.81640625","0.81640625","0.81640625"
"50","0.845703125","0.845703125","0.845703125"
"55","0.775390625","0.775390625","0.775390625"
"60","0.8046875","0.8046875","0.8046875"
"65","0.822265625","0.822265625","0.822265625"
"70","0.814453125","0.814453125","0.814453125"
"75","0.814453125","0.814453125","0.814453125"
"80","0.8203125","0.8203125","0.8203125"
"85","0.794921875","0.794921875","0.794921875"
"90","0.810546875","0.810546875","0.810546875"
"95","0.84765625","0.84765625","0.84765625"
"100","0.83203125","0.83203125","0.83203125"
"105","0.828125","0.828125","0.828125"
"110","0.822265625","0.822265625","0.822265625"
"115","0.822265625","0.822265625","0.822265625"
"120","0.8203125","0.8203125","0.8203125"
"125","0.83203125","0.83203125","0.83203125"
"130","0.798828125","0.798828125","0.798828125"
"135","0.755859375","0.755859375","0.755859375"
"140","0.810546875","0.810546875","0.810546875"
"145","0.830078125","0.830078125","0.830078125"
"150","0.775390625","0.775390625","0.775390625"
"155","0.802734375","0.802734375","0.802734375"
"160","0.779296875","0.779296875","0.779296875"
"165","0.79296875","0.79296875","0.79296875"
"170","0.7734375","0.7734375","0.7734375"
"175","0.81640625","0.81640625","0.81640625"
"180","0.791015625","0.791015625","0.791015625"
"185","0.794921875","0.794921875","0.794921875"
"190","0.810546875","0.810546875","0.810546875"
"195","0.8203125","0.8203125","0.8203125"
"200","0.83203125","0.83203125","0.83203125"
"205","0.814453125","0.814453125","0.814453125"
"210","0.865234375","0.865234375","0.865234375"
"215","0.859375","0.859375","0.859375"
"220","0.8515625","0.8515625","0.8515625"
"225","0.859375","0.859375","0.859375"
"230","0.828125","0.828125","0.828125"
"235","0.833984375","0.833984375","0.833984375"
"240","0.828125","0.828125","0.828125"
"245","0.837890625","0.837890625","0.837890625"
"250","0.8046875","0.8046875","0.8046875"
"255","0.80859375","0.80859375","0.80859375"
"260","0.841796875","0.841796875","0.841796875"
"265","0.828125","0.828125","0.828125"
"270","0.791015625","0.791015625","0.791015625"
"275","0.830078125","0.830078125","0.830078125"
"280","0.822265625","0.822265625","0.822265625"
"285","0.84765625","0.84765625","0.84765625"
"290","0.810546875","0.810546875","0.810546875"
"295","0.828125","0.828125","0.828125"
"300","0.7890625","0.7890625","0.7890625"
